,artistName,artistId,genres,follower,popularity,famille_musicale
2709,DYSTINCT,1cKyknhftNKXCjMBd2hDrG,"['moroccan pop', 'raï']",701374.0,70.0,Pop
2710,Anouk,6ltVunYjAAD70YtVO6rxvX,['nederpop'],383710.0,54.0,Pop
2711,Eves Laurent,5QWQYxfuoNq7iJBlbIAYRS,[],62003.0,59.0,No Genre
2712,Sondre Lerche,0Q6X1jqwOVQuclYp2P1bub,['norwegian pop'],78580.0,38.0,Pop
2713,Aiba,6Lu4e8FvAWcp1S5BVoDLjJ,"['norwegian hip hop', 'norwegian pop']",9288.0,41.0,Hip-Hop
2714,Yung Slippy,5q2b2XIdrnuvoT7hAZqWws,"['russelåter', 'norwegian hip hop']",3113.0,32.0,Hip-Hop
2715,Mr Melk,2sfYCaSe6ZMDYZxmhA0ujD,"['russelåter', 'norwegian pop']",3118.0,20.0,Pop
2716,Capow x 2G,1aNuhjKCoAQGBnIiyCGI3a,"['russelåter', 'norwegian hip hop', 'norwegian pop']",14058.0,36.0,Hip-Hop
2717,Beathoven,6w6TB0XMM0VZ3oDsy7tUYJ,"['russelåter', 'norwegian hip hop', 'norwegian pop']",33220.0,49.0,Hip-Hop
2718,Sportsalleen,7fOtaGYi9Mrft9xjRXqRAA,"['russelåter', 'epadunk']",4979.0,40.0,Autre
2719,Dylan Conrique,2S054G7qnCK45KY0XzpX30,[],361850.0,56.0,No Genre
2720,Roc Meiniac,66aKUYvwgllTvHd5JL2uwb,"['russelåter', 'epadunk']",5294.0,53.0,Autre
2721,Lille Saus,15saPvefLxxtw3nvTOCUg0,['russelåter'],1830.0,47.0,Autre
2722,gangCBang,7CQi6Efv5Jjzi9KegiAGf4,"['russelåter', 'epadunk']",494.0,31.0,Autre
2723,Rusina,5QQGdYIcd5A2PRcG42eNdQ,[],100491.0,55.0,No Genre
2724,Artur Rojek,2wmdMX0w131ZumU30P5WZH,[],202122.0,53.0,No Genre
2725,Mrozu,5QWz0kPELXKHSiINe7mFjX,['disco polo'],291647.0,60.0,Autre
2726,"Dawid, Artysta",5io96qFvFJevk6P5NSM2pq,[],37687.0,49.0,No Genre
2727,Vłodarski,75wMNgYkzacOI08FN7BaG0,['disco polo'],14060.0,59.0,Autre
2728,Miętha,7FXTirgSWxaPY9k4mrYChs,[],21347.0,39.0,No Genre
2729,Igor Herbut,5KTMtd3GnDdcWnwxcEBwKX,[],45700.0,48.0,No Genre
2730,TEDE,38iqZSGa2pvToKrMISU8g1,[],106053.0,53.0,No Genre
2731,Kuki,3eM69n1zBUNhr7nsDLm5AH,[],152366.0,46.0,No Genre
2732,Borixon,5Q5WdRs96HgbxdVIfhHqt2,[],137571.0,48.0,No Genre
